name,position,element,team,opponent_team,price,condition,xTotPoints
Tomiyasu Takehiro,DEF,22,Arsenal,Brentford,4.8,0.0,0.0
Pau Torres,DEF,52,Aston Villa,Brighton & Hove Albion,4.3,1.0,1.76
Joel Ward,DEF,215,Crystal Palace,Southampton,4.3,1.0,0.0
Milos Kerkez,DEF,70,Bournemouth,Fulham,4.7,1.0,3.48
Conor Coady,DEF,288,Leicester City,Manchester City,4.0,1.0,1.02
Adam Webster,DEF,147,Brighton & Hove Albion,Aston Villa,4.3,0.75,0.0
Alex Murphy,DEF,390,Newcastle United,Manchester United,4.0,1.0,0.0
Craig Dawson,DEF,542,Wolverhampton Wanderers,Tottenham Hotspur,4.4,1.0,-0.1
Marcos Senesi,DEF,79,Bournemouth,Fulham,4.7,0.0,0.0
Jannik Vestergaard,DEF,307,Leicester City,Manchester City,4.0,1.0,-0.12
Luke Thomas,DEF,305,Leicester City,Manchester City,3.9,1.0,0.0
Adam Smith,DEF,81,Bournemouth,Fulham,4.5,0.0,2.64
Taylor Harwood-Bellis,DEF,461,Southampton,Crystal Palace,4.1,1.0,2.22
Lisandro Martínez,DEF,380,Manchester United,Newcastle United,4.4,1.0,1.78
Joško Gvardiol,DEF,350,Manchester City,Leicester City,6.0,1.0,2.57
Joachim Andersen,DEF,191,Fulham,Bournemouth,4.2,1.0,0.59
Roman Dixon,DEF,627,Everton,Nottingham Forest,4.0,1.0,0.0
Trevoh Chalobah,DEF,159,Crystal Palace,Southampton,4.4,1.0,4.62
Ryan Manning,DEF,467,Southampton,Crystal Palace,4.3,1.0,0.28
Vitalii Mykolenko,DEF,231,Everton,Nottingham Forest,4.3,1.0,3.84
Nélson Cabral Semedo,DEF,559,Wolverhampton Wanderers,Tottenham Hotspur,4.5,1.0,3.13
Benoît Badiashile,DEF,153,Chelsea,Ipswich Town,4.3,0.0,0.19
Jack Stephens,DEF,472,Southampton,Crystal Palace,4.0,0.0,-0.35
Rico Henry,DEF,92,Brentford,Arsenal,4.3,0.0,0.0
Rob Holding,DEF,202,Crystal Palace,Southampton,4.3,1.0,0.0
Ryan Sessegnon,DEF,579,Fulham,Bournemouth,4.2,1.0,0.18
Jonny Evans,DEF,371,Manchester United,Newcastle United,4.4,1.0,0.0
Timothy Castagne,DEF,244,Fulham,Bournemouth,4.2,1.0,3.09
Tariq Lamptey,DEF,131,Brighton & Hove Albion,Aston Villa,4.4,1.0,1.24
Séamus Coleman,DEF,221,Everton,Nottingham Forest,4.3,0.75,0.39
Fabian Schär,DEF,415,Newcastle United,Manchester United,5.4,1.0,5.33
