name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,15,Arsenal,Brighton & Hove Albion,5.6,1.0,4.11,3
Jordan Pickford,GK,235,Everton,Bournemouth,5.0,1.0,5.49,4
Lewis Hall,DEF,399,Newcastle United,Tottenham Hotspur,4.8,1.0,7.33,2
Dean Huijsen,DEF,580,Bournemouth,Everton,4.4,1.0,5.99,8
Ashley Young,DEF,238,Everton,Bournemouth,4.7,1.0,4.43,2
Mohamed Salah,MID,328,Liverpool,Manchester United,13.6,1.0,13.81,7
Antoine Semenyo,MID,78,Bournemouth,Everton,5.6,1.0,6.1,3
Luis Díaz,MID,327,Liverpool,Manchester United,7.6,1.0,5.74,1
Bryan Mbeumo,MID,99,Brentford,Southampton,7.7,1.0,6.66,19
Joelinton Cássio Apolinário de Lira,MID,403,Newcastle United,Tottenham Hotspur,6.0,1.0,5.51,1
Morgan Rogers,MID,54,Aston Villa,Leicester City,5.5,1.0,5.3,0
Alexander Isak,FWD,401,Newcastle United,Tottenham Hotspur,9.3,1.0,10.96,7
Gabriel Fernando de Jesus,FWD,2,Arsenal,Brighton & Hove Albion,6.9,1.0,7.31,2
João Pedro Junqueira de Jesus,FWD,129,Brighton & Hove Albion,Arsenal,5.7,1.0,5.15,9
Matheus Santos Carneiro Da Cunha,FWD,541,Wolverhampton Wanderers,Nottingham Forest,7.0,1.0,6.61,0
